playlist_genre                                                                                                                                                                                                                                                   track_popularity danceability           energy                 loudness               acousticness           instrumentalness       liveness               valence                tempo                  duration_ms
pop                                                                                                                                                                                                                                                              2                0.643                  0.79                   -6.403                 0.0336                 0.00347                0.566                  0.33                   97.548                 242147
pop                                                                                                                                                                                                                                                              57               0.622                  0.75                   -6.367                 0.0625                 0.000133               0.127                  0.905                  141.324                197973
pop                                                                                                                                                                                                                                                              51               0.735                  0.759                  -6.914                 0.0242                 0.185                  0.0966                 0.77                   109.982                214347
pop                                                                                                                                                                                                                                                              36               0.605                  0.846                  -5.177                 0.0421                 0.00215                0.131                  0.483                  110.025                262250
pop                                                                                                                                                                                                                                                              0                0.636                  0.609                  -12.871                0.0295                 0.237                  0.198                  0.84                   108.235                272947
pop                                                                                                                                                                                                                                                              50               0.793                  0.825                  -2.708                 0.195                  8.53E-06               0.0889                 0.674                  111.964                304840
pop                                                                                                                                                                                                                                                              3                0.463                  0.717                  -5.135                 0.034                  4.71E-06               0.121                  0.31                   174.109                191294
pop                                                                                                                                                                                                                                                              4                0.34                   0.737                  -4.681                 0.000105               0.762                  0.0699                 0.499                  172.022                192080
pop                                                                                                                                                                                                                                                              61               0.656                  0.61                   -7.894                 0.416                  0.000172               0.245                  0.52                   140.058                218067
pop                                                                                                                                                                                                                                                              44               0.529                  0.436                  -10.66                 0.365                  0.000666               0.0641                 0.185                  119.583                192724
pop                                                                                                                                                                                                                                                              7                0.482                  0.373                  -13.427                0.729                  3.79E-05               0.0927                 0.105                  183.051                289307
pop                                                                                                                                                                                                                                                              2                0.662                  0.691                  -7.275                 0.0722                 6.32E-05               0.0666                 0.292                  107.972                274797
pop                                                                                                                                                                                                                                                              48               0.703                  0.603                  -8.687                 0.413                  0.00125                0.141                  0.309                  112.015                281133
pop                                                                                                                                                                                                                                                              0                0.766                  0.576                  -7.474                 0.137                  0.000879               0.113                  0.812                  129.998                216360
pop                                                                                                                                                                                                                                                              30               0.777                  0.853                  -2.993                 0.0486                 6.19E-06               0.0956                 0.516                  124.991                192533
pop                                                                                                                                                                                                                                                              53               0.689                  0.68                   -7.196                 0.321                  0.0211                 0.0431                 0.646                  100.987                368317
pop                                                                                                                                                                                                                                                              0                0.606                  0.658                  -5.983                 0.195                  0.827                  0.118                  0.566                  127.999                367900
pop                                                                                                                                                                                                                                                              0                0.66                   0.7                    -7.832                 0.0612                 0.0687                 0.116                  0.221                  102.514                280205
pop                                                                                                                                                                                                                                                              0                0.747                  0.833                  -5.525                 0.804                  0.448                  0.117                  0.936                  109.97                 214102
pop                                                                                                                                                                                                                                                              0                0.649                  0.835                  -6.545                 0.0116                 0.00989                0.0865                 0.298                  121.019                218525
pop                                                                                                                                                                                                                                                              0                0.386                  0.708                  -8.173                 0.00287                2.26E-05               0.245                  0.0858                 110.354                207810
pop                                                                                                                                                                                                                                                              0                0.74                   0.829                  -4.467                 0.0597                 0                      0.0738                 0.363                  122.988                246254
pop                                                                                                                                                                                                                                                              1                0.818                  0.858                  -4.219                 0.0642                 0.256                  0.256                  0.753                  119.605                258503
pop                                                                                                                                                                                                                                                              42               0.843                  0.757                  -5.633                 0.208                  8.28E-05               0.0828                 0.946                  129.934                238479
pop                                                                                                                                                                                                                                                              43               0.681                  0.932                  -2.368                 0.088                  0.0138                 0.09                   0.628                  116.026                326897
pop                                                                                                                                                                                                                                                              34               0.683                  0.584                  -8.551                 0.282                  0.00372                0.11                   0.231                  129.318                197447
pop                                                                                                                                                                                                                                                              0                0.597                  0.658                  -11.346                0.0854                 0.323                  0.515                  0.678                  95.034                 257405
pop                                                                                                                                                                                                                                                              33               0.591                  0.33                   -12.617                0.299                  2.42E-06               0.0857                 0.303                  145.275                218217
pop                                                                                                                                                                                                                                                              45               0.681                  0.615                  -8.536                 0.449                  0.000115               0.0884                 0.412                  137.906                238952
pop                                                                                                                                                                                                                                                              37               0.486                  0.744                  -6.082                 0.0302                 6.68E-05               0.0914                 0.402                  94.965                 230507
pop                                                                                                                                                                                                                                                              0                0.323                  0.382                  -9.649                 0.264                  0.000418               0.103                  0.268                  85.306                 231692
pop                                                                                                                                                                                                                                                              22               0.545                  0.787                  -6.378                 0.0246                 0.069                  0.0723                 0.403                  176.972                219267
pop                                                                                                                                                                                                                                                              0                0.606                  0.481                  -11.94                 0.0957                 0.00282                0.0975                 0.0936                 124.88                 230113
pop                                                                                                                                                                                                                                                              2                0.65                   0.463                  -8.9                   0.348                  0.000847               0.0822                 0.222                  135.115                217400
pop                                                                                                                                                                                                                                                              26               0.541                  0.508                  -8.266                 0.233                  7.79E-06               0.334                  0.248                  143.712                211087
pop                                                                                                                                                                                                                                                              1                0.701                  0.852                  -4.908                 0.423                  0.00474                0.202                  0.433                  104.988                189267
pop                                                                                                                                                                                                                                                              30               0.487                  0.79                   -4.299                 0.00329                0.000542               0.447                  0.24                   103.503                222384
pop                                                                                                                                                                                                                                                              0                0.609                  0.883                  -6.761                 0.0823                 8.36E-06               0.196                  0.865                  167.871                190280
pop                                                                                                                                                                                                                                                              0                0.637                  0.678                  -7.051                 0.16                   0.0136                 0.171                  0.759                  164.946                207227
pop                                                                                                                                                                                                                                                              12               0.59                   0.773                  -4.914                 0.0409                 0.000657               0.0955                 0.404                  128.047                229219
pop                                                                                                                                                                                                                                                              1                0.58                   0.725                  -5.278                 0.0261                 0                      0.307                  0.368                  90.054                 227872
pop                                                                                                                                                                                                                                                              37               0.724                  0.703                  -4.049                 0.228                  0                      0.0852                 0.866                  99.629                 180026
pop                                                                                                                                                                                                                                                              35               0.626                  0.774                  -5.534                 0.00587                8.35E-05               0.118                  0.484                  100.018                214038
pop                                                                                                                                                                                                                                                              34               0.63                   0.655                  -6.708                 0.0381                 0.00606                0.168                  0.329                  102.009                230937
pop                                                                                                                                                                                                                                                              43               0.496                  0.54                   -7.121                 0.0172                 0.0367                 0.13                   0.164                  131.337                190582
pop                                                                                                                                                                                                                                                              57               0.511                  0.678                  -6.858                 0.241                  0                      0.0948                 0.405                  212.137                253585
pop                                                                                                                                                                                                                                                              23               0.394                  0.301                  -9.267                 0.793                  0.00106                0.0934                 0.0576                 81.205                 202652
pop                                                                                                                                                                                                                                                              0                0.383                  0.569                  -10.407                0.883                  0.106                  0.124                  0.524                  180.036                231364
pop                                                                                                                                                                                                                                                              0                0.629                  0.486                  -12.178                0.0962                 0.103                  0.0842                 0.274                  150.005                260199
pop                                                                                                                                                                                                                                                              0                0.57                   0.581                  -10.617                0.0274                 2.87E-05               0.115                  0.365                  119.93                 268000
pop                                                                                                                                                                                                                                                              1                0.633                  0.83                   -3.754                 0.0232                 0.000372               0.0948                 0.457                  121.978                184918
pop                                                                                                                                                                                                                                                              16               0.543                  0.872                  -5.129                 0.0332                 2.43E-05               0.174                  0.225                  164.003                240465
pop                                                                                                                                                                                                                                                              0                0.612                  0.665                  -4.519                 0.0119                 0                      0.0928                 0.384                  99.989                 283680
pop                                                                                                                                                                                                                                                              15               0.451                  0.839                  -2.506                 0.000484               0                      0.0992                 0.368                  140.175                187286
pop                                                                                                                                                                                                                                                              39               0.576                  0.399                  -9.617                 0.487                  0                      0.103                  0.111                  119.992                213133
pop                                                                                                                                                                                                                                                              48               0.587                  0.881                  -1.316                 0.0114                 0.00146                0.326                  0.221                  94.984                 328421
pop                                                                                                                                                                                                                                                              21               0.646                  0.826                  -5.635                 0.373                  0.749                  0.0688                 0.853                  150.077                205450
pop                                                                                                                                                                                                                                                              53               0.673                  0.795                  -6.21                  0.0555                 0.0111                 0.117                  0.437                  105.025                180571
pop                                                                                                                                                                                                                                                              24               0.58                   0.448                  -9.885                 0.184                  0.00532                0.119                  0.0917                 124.923                199646
pop                                                                                                                                                                                                                                                              24               0.474                  0.794                  -6.292                 0.000989               0.709                  0.218                  0.231                  139.024                190973
pop                                                                                                                                                                                                                                                              29               0.597                  0.924                  -4.46                  0.0387                 0                      0.143                  0.581                  99.97                  216240
pop                                                                                                                                                                                                                                                              34               0.5                    0.69                   -7.542                 0.0379                 0.0135                 0.104                  0.179                  96.971                 264742
pop                                                                                                                                                                                                                                                              30               0.669                  0.798                  -4.72                  0.00701                0.017                  0.0755                 0.483                  139.938                234857
pop                                                                                                                                                                                                                                                              0                0.679                  0.83                   -5.461                 0.00772                0.000209               0.102                  0.592                  113.906                233982
pop                                                                                                                                                                                                                                                              29               0.235                  0.481                  -8.212                 0.0299                 1.44E-05               0.0539                 0.0949                 74.995                 250748
pop                                                                                                                                                                                                                                                              0                0.685                  0.696                  -5.697                 0.0299                 0.00144                0.0662                 0.95                   89.976                 215613
pop                                                                                                                                                                                                                                                              0                0.632                  0.596                  -8.156                 0.0227                 0.046                  0.117                  0.553                  118.972                210000
pop                                                                                                                                                                                                                                                              25               0.617                  0.871                  -4.909                 0.1                    0                      0.109                  0.775                  107.002                179020
pop                                                                                                                                                                                                                                                              2                0.589                  0.846                  -5.455                 0.069                  0.00125                0.0904                 0.704                  122                    266173
pop                                                                                                                                                                                                                                                              0                0.464                  0.903                  -4.072                 0.00226                0.0336                 0.111                  0.461                  174.082                206891
pop                                                                                                                                                                                                                                                              29               0.516                  0.886                  -6.852                 0.00827                0.0119                 0.264                  0.748                  147.96                 262703
pop                                                                                                                                                                                                                                                              22               0.646                  0.751                  -5.246                 0.0437                 3.8E-05                0.112                  0.879                  172.04                 214411
pop                                                                                                                                                                                                                                                              36               0.608                  0.931                  -4.038                 0.305                  6.45E-06               0.124                  0.632                  194.025                183637
pop                                                                                                                                                                                                                                                              24               0.611                  0.369                  -10.412                0.657                  0                      0.112                  0.362                  80.111                 187014
pop                                                                                                                                                                                                                                                              41               0.703                  0.731                  -6.643                 0.0441                 0.0618                 0.152                  0.596                  109.989                235755
pop                                                                                                                                                                                                                                                              41               0.794                  0.72                   -5.186                 0.359                  6.3E-05                0.296                  0.384                  99.962                 199200
pop                                                                                                                                                                                                                                                              0                0.729                  0.754                  -5.063                 0.03                   0.000757               0.234                  0.627                  105.987                205094
pop                                                                                                                                                                                                                                                              32               0.555                  0.67                   -8.606                 0.01                   0.513                  0.313                  0.165                  95.011                 221860
pop                                                                                                                                                                                                                                                              18               0.736                  0.534                  -10.441                0.0903                 0.0752                 0.0787                 0.583                  116.99                 215385
pop                                                                                                                                                                                                                                                              2                0.7                    0.78                   -7.598                 0.591                  4.68E-05               0.224                  0.466                  89.991                 215760
pop                                                                                                                                                                                                                                                              3                0.613                  0.628                  -6.651                 0.57                   0.0157                 0.323                  0.491                  100.019                211340
pop                                                                                                                                                                                                                                                              0                0.555                  0.616                  -6.049                 0.00236                0.014                  0.0993                 0.222                  101.985                222403
pop                                                                                                                                                                                                                                                              52               0.541                  0.982                  -4.908                 0.00767                0.000765               0.291                  0.722                  104.03                 308360
pop                                                                                                                                                                                                                                                              31               0.728                  0.634                  -4.388                 0.209                  1.05E-05               0.0805                 0.932                  128.075                231172
pop                                                                                                                                                                                                                                                              0                0.573                  0.901                  -6.263                 0.0269                 0.433                  0.0741                 0.468                  100.018                242005
pop                                                                                                                                                                                                                                                              48               0.552                  0.647                  -9.247                 0.0581                 0.000539               0.0949                 0.381                  157.945                350886
pop                                                                                                                                                                                                                                                              1                0.47                   0.834                  -9.156                 6.54E-05               0.00095                0.372                  0.184                  162.91                 324018
pop                                                                                                                                                                                                                                                              44               0.566                  0.628                  -11.216                0.153                  0.12                   0.0558                 0.554                  176.126                186435
pop                                                                                                                                                                                                                                                              39               0.487                  0.734                  -5.506                 0.18                   0                      0.0997                 0.308                  171.987                196911
pop                                                                                                                                                                                                                                                              0                0.483                  0.608                  -10.541                0.886                  0.0153                 0.107                  0.166                  142.016                228120
pop                                                                                                                                                                                                                                                              0                0.785                  0.665                  -6.137                 0.0302                 2.65E-05               0.247                  0.769                  129.037                249573
pop                                                                                                                                                                                                                                                              33               0.761                  0.868                  -3.804                 0.126                  4.41E-06               0.0734                 0.708                  114.017                237430
pop                                                                                                                                                                                                                                                              45               0.682                  0.699                  -5.816                 0.0808                 0.0227                 0.0846                 0.831                  104.999                218807
pop                                                                                                                                                                                                                                                              26               0.556                  0.828                  -5.344                 0.0245                 0.0133                 0.129                  0.578                  89.998                 185773
pop                                                                                                                                                                                                                                                              45               0.375                  0.657                  -6.661                 0.0161                 0.00115                0.13                   0.182                  96.041                 223440
pop                                                                                                                                                                                                                                                              51               0.667                  0.796                  -4.653                 0.0173                 0.000471               0.116                  0.666                  88.479                 206067
pop                                                                                                                                                                                                                                                              0                0.616                  0.88                   -3.59                  0.0521                 0.000717               0.0539                 0.751                  94.011                 182518
